Datum,Pridobivanje uporabnikov
17.08.2020,4956
18.08.2020,18272
19.08.2020,5296
20.08.2020,4568
21.08.2020,2446
22.08.2020,1813
23.08.2020,1740
24.08.2020,1985
25.08.2020,2601
26.08.2020,1435
27.08.2020,1115
28.08.2020,818
29.08.2020,746
30.08.2020,1077
31.08.2020,721
01.09.2020,1761
02.09.2020,1783
03.09.2020,1497
04.09.2020,1273
05.09.2020,770
06.09.2020,770
07.09.2020,1079
08.09.2020,801
09.09.2020,1133
10.09.2020,13616
11.09.2020,5139
12.09.2020,5070
13.09.2020,4271
14.09.2020,2745
15.09.2020,1675
16.09.2020,2088
17.09.2020,1102
18.09.2020,829
19.09.2020,574
20.09.2020,592
21.09.2020,522
22.09.2020,672
23.09.2020,502
24.09.2020,648
25.09.2020,953
26.09.2020,649
27.09.2020,535
28.09.2020,614
29.09.2020,466
30.09.2020,676
01.10.2020,513
02.10.2020,649
03.10.2020,445
04.10.2020,441
05.10.2020,461
06.10.2020,1308
07.10.2020,1729
08.10.2020,2059
09.10.2020,2315
10.10.2020,1029
11.10.2020,3453
12.10.2020,1804
13.10.2020,2761
14.10.2020,5777
15.10.2020,2941
16.10.2020,2521
17.10.2020,1796
18.10.2020,3187
19.10.2020,11642
20.10.2020,3212
21.10.2020,3311
22.10.2020,3264
23.10.2020,1771
24.10.2020,1534
25.10.2020,1440
26.10.2020,1372
27.10.2020,1241
28.10.2020,1444
29.10.2020,1877
30.10.2020,925
31.10.2020,511
01.11.2020,557
02.11.2020,704
03.11.2020,487
04.11.2020,412
05.11.2020,333
06.11.2020,286
07.11.2020,221
08.11.2020,171
09.11.2020,238
10.11.2020,266
11.11.2020,390
12.11.2020,298
13.11.2020,339
14.11.2020,240
15.11.2020,254
16.11.2020,233
17.11.2020,258
18.11.2020,252
19.11.2020,261
20.11.2020,320
21.11.2020,216
22.11.2020,230
23.11.2020,192
24.11.2020,180
25.11.2020,174
26.11.2020,202
27.11.2020,178
28.11.2020,118
29.11.2020,168
30.11.2020,153
01.12.2020,155
02.12.2020,140
03.12.2020,112
04.12.2020,115
05.12.2020,97
06.12.2020,133
07.12.2020,126
08.12.2020,131
09.12.2020,123
10.12.2020,112
11.12.2020,124
12.12.2020,123
13.12.2020,10322
14.12.2020,41506
15.12.2020,23865
16.12.2020,13682
17.12.2020,10261
18.12.2020,10666
19.12.2020,9985
20.12.2020,6501
21.12.2020,4912
22.12.2020,4134
23.12.2020,2949
24.12.2020,1379
25.12.2020,1061
26.12.2020,824
27.12.2020,654
28.12.2020,488
29.12.2020,498
30.12.2020,468
31.12.2020,366
01.01.2021,300
02.01.2021,333
03.01.2021,337
04.01.2021,301
05.01.2021,284
06.01.2021,272
07.01.2021,239
08.01.2021,283
09.01.2021,235
10.01.2021,212
11.01.2021,201
12.01.2021,169
13.01.2021,183
14.01.2021,251
15.01.2021,236
16.01.2021,189
17.01.2021,171
18.01.2021,151
19.01.2021,141
20.01.2021,138
21.01.2021,123
22.01.2021,240
23.01.2021,142
24.01.2021,142
25.01.2021,165
26.01.2021,134
27.01.2021,114
28.01.2021,99
29.01.2021,118
30.01.2021,211
31.01.2021,83
01.02.2021,102
02.02.2021,92
03.02.2021,88
04.02.2021,93
05.02.2021,78
06.02.2021,57
07.02.2021,61
08.02.2021,61
09.02.2021,77
10.02.2021,64
11.02.2021,61
12.02.2021,139
13.02.2021,64
14.02.2021,44
15.02.2021,43
16.02.2021,50
17.02.2021,42
18.02.2021,55
19.02.2021,55
20.02.2021,48
21.02.2021,32
22.02.2021,58
23.02.2021,50
24.02.2021,43
25.02.2021,38
26.02.2021,36
27.02.2021,32
28.02.2021,55
01.03.2021,42
02.03.2021,52
03.03.2021,42
04.03.2021,54
05.03.2021,47
06.03.2021,43
07.03.2021,36
08.03.2021,31
09.03.2021,53
10.03.2021,43
11.03.2021,45
12.03.2021,38
13.03.2021,36
14.03.2021,27
15.03.2021,47
16.03.2021,37
17.03.2021,34
18.03.2021,50
19.03.2021,40
20.03.2021,31
21.03.2021,34
22.03.2021,30
23.03.2021,60
24.03.2021,58
25.03.2021,47
26.03.2021,35
27.03.2021,35
28.03.2021,44
29.03.2021,46
30.03.2021,50
31.03.2021,55
01.04.2021,49
02.04.2021,50
03.04.2021,29
04.04.2021,34
05.04.2021,43
06.04.2021,47
07.04.2021,39
08.04.2021,38
09.04.2021,41
10.04.2021,34
11.04.2021,31
12.04.2021,46
13.04.2021,30
14.04.2021,87
15.04.2021,102
16.04.2021,86
17.04.2021,46
18.04.2021,49
19.04.2021,45
20.04.2021,60
21.04.2021,36
22.04.2021,32
23.04.2021,43
24.04.2021,31
25.04.2021,32
26.04.2021,48
27.04.2021,35
28.04.2021,42
29.04.2021,33
30.04.2021,26
01.05.2021,20
02.05.2021,44
03.05.2021,47
04.05.2021,45
05.05.2021,35
06.05.2021,67
07.05.2021,78
08.05.2021,34
09.05.2021,45
10.05.2021,50
11.05.2021,47
12.05.2021,42
13.05.2021,62
14.05.2021,73
15.05.2021,36
16.05.2021,46
17.05.2021,48
18.05.2021,53
19.05.2021,50
20.05.2021,37
21.05.2021,51
22.05.2021,33
23.05.2021,47
24.05.2021,40
25.05.2021,42
26.05.2021,48
27.05.2021,38
28.05.2021,21
29.05.2021,29
30.05.2021,26
31.05.2021,43
01.06.2021,50
02.06.2021,55
03.06.2021,64
04.06.2021,54
05.06.2021,42
06.06.2021,35
07.06.2021,52
08.06.2021,59
09.06.2021,59
10.06.2021,52
11.06.2021,95
12.06.2021,54
13.06.2021,40
14.06.2021,38
15.06.2021,69
16.06.2021,54
17.06.2021,52
18.06.2021,62
19.06.2021,46
20.06.2021,35
21.06.2021,55
22.06.2021,67
23.06.2021,71
24.06.2021,79
25.06.2021,38
26.06.2021,39
27.06.2021,33
28.06.2021,51
29.06.2021,54
30.06.2021,58
01.07.2021,161
02.07.2021,103
03.07.2021,64
04.07.2021,61
05.07.2021,110
06.07.2021,188
07.07.2021,152
08.07.2021,143
09.07.2021,145
10.07.2021,113
11.07.2021,121
12.07.2021,127
13.07.2021,140
14.07.2021,133
15.07.2021,149
16.07.2021,169
17.07.2021,99
18.07.2021,84
19.07.2021,51
20.07.2021,85
21.07.2021,89
22.07.2021,115
23.07.2021,174
24.07.2021,111
25.07.2021,113
26.07.2021,165
27.07.2021,128
28.07.2021,107
29.07.2021,80
30.07.2021,156
31.07.2021,111
01.08.2021,110
02.08.2021,134
03.08.2021,106
04.08.2021,81
05.08.2021,125
06.08.2021,146
07.08.2021,75
08.08.2021,101
09.08.2021,69
10.08.2021,96
11.08.2021,76
12.08.2021,118
13.08.2021,114
14.08.2021,76
15.08.2021,76
16.08.2021,75
17.08.2021,92
18.08.2021,84
19.08.2021,75
20.08.2021,106
21.08.2021,80
22.08.2021,89
23.08.2021,98
24.08.2021,90
25.08.2021,79
26.08.2021,99
27.08.2021,119
28.08.2021,108
29.08.2021,125
30.08.2021,91
31.08.2021,119
01.09.2021,85
02.09.2021,101
03.09.2021,73
04.09.2021,82
05.09.2021,102
06.09.2021,213
07.09.2021,225
08.09.2021,200
09.09.2021,220
10.09.2021,228
11.09.2021,176
12.09.2021,263
13.09.2021,527
14.09.2021,889
15.09.2021,1003
16.09.2021,676
17.09.2021,546
18.09.2021,344
19.09.2021,291
20.09.2021,325
21.09.2021,300
22.09.2021,287
23.09.2021,221
24.09.2021,263
25.09.2021,188
26.09.2021,160
27.09.2021,243
28.09.2021,192
29.09.2021,169
30.09.2021,154
01.10.2021,161
02.10.2021,129
03.10.2021,139
04.10.2021,154
05.10.2021,138
06.10.2021,148
07.10.2021,173
08.10.2021,132
09.10.2021,109
10.10.2021,95
11.10.2021,121
12.10.2021,114
13.10.2021,118
14.10.2021,128
15.10.2021,127
16.10.2021,92
17.10.2021,100
18.10.2021,118
19.10.2021,101
20.10.2021,156
21.10.2021,106
22.10.2021,149
23.10.2021,125
24.10.2021,110
25.10.2021,111